vin_number;registration_plate;brand;model;mileage
QzkxGmWaHu;X397Kc96;Dodge;Ram 1500;102737
QURsOXUmiw;a562bJ34;Chrysler;300;490847
ttrhBvCcjB;F462tI12;Mercedes-Benz;S-Class;267464
hUguQOPDcH;q665NN43;Rolls-Royce;Corniche;977057
VaKuwCIeat;z449Rc69;Skoda;Superb;821113
gslFoqtauz;Y284hC94;Peugeot;Partner;543489
PiRgjygwrH;k589HP21;Maserati;GranCabrio;59328
RMflgTsEZZ;m231bH62;Kia;Sportage;351954
sFTbHNepZl;R887uU24;Maserati;Quattroporte;197500
VcxsqdkglI;R855KA84;McLaren;Senna;311435
cSCqAsqYEp;p855rP83;Aston Martin;One-77;662645
RIPUqmuTiy;G692nF35;Honda;CR-V;252460
pSBSrGpIjl;A571ml41;Lincoln;Nautilus;170569
wEhXLeLjzY;W611HI99;Maserati;Quattroporte;789222
rIUdWZHwBt;c562qR32;Chevrolet;Camaro;804268
oOqCPfXBpJ;N428EM42;Toyota;4Runner;616850
hzQiVfLFRG;K301BF91;Bentley;Brooklands;565071
GKAmyIrcRF;l557vL69;Cadillac;CT5;657749
VeUUZgzPLn;P829SF33;Mitsubishi;ASX;967560
DWweWshKfT;g603Yk76;Bugatti;Veyron;677682
FeBHZvDWQi;U860kL42;Lincoln;MKC;224860
qyMMTwtGKG;B561ra35;Ford;Bronco;475483
RAimAKceXm;g643wa69;Jeep;Grand Cherokee;380730
iCsNoSudWa;v815zR97;Bugatti;EB110;800750
uAWXKOKdEx;O841dA61;Mazda;Mazda2;958558
UMAiaRVgIK;T672sA24;Nissan;Altima;694534
qRcAmNVfmd;b150dN22;Lamborghini;Aventador;745042
xzwVKoAVQV;U576QL22;Hyundai;Accent;714573
VLpuodOKQC;R386Bq46;Toyota;Land Cruiser;586322
CBOfVGWoTt;W646vG68;Hyundai;Nexo;412171
tmqImrdUGr;Q242pb12;Mercedes-Benz;GLE;81306
uChDoJsSTV;v744dJ33;Hyundai;Kona;94805
KHSitawDqk;K108hN74;Bentley;Flying Spur;604673
eGHyeimLin;g940By28;Renault;Clio;993629
JMFRytgZUs;u606VH35;Ferrari;Portofino;616644
TWpJGXHiNY;l413fo79;BMW;7 Series;979799
rgGJvMswTb;d959RF84;BMW;X1;570762
qPZtDgpumj;u655zJ70;Lamborghini;Urus;299737
IPXynneEBI;A627wF18;Dodge;Charger;931762
uJGfuaVqGg;h740KR75;GMC;Yukon;560976
oBOZfexraq;a645tv50;Mazda;RX-8;529226
duKZGrZNNX;y588Px52;Mercedes-Benz;S-Class;53253
libShbIbSM;K172ut29;Ferrari;LaFerrari;1706
fHbZeiadrk;p373KV81;Bugatti;EB110;864429
zqwOkTpljr;E643zh65;Volvo;S60;791550
nDFBkWMgnj;n783KV58;Fiat;Doblo;830583
ujdsvoYleN;n640Je79;Chevrolet;Traverse;311504
YzKKyLujVZ;y416tA80;Nissan;Sentra;122869
oBFSRyGDoq;P795NE41;Volvo;V60;170319
GBzlZJBWHT;D961CX65;Peugeot;208;417339
poUDoPKCcE;O587Fb96;Aston Martin;DBS Superleggera;906381
WNtqeNtnHl;R529Lc25;Audi;Q8;948176
AbBiforXfX;H484Mr18;Fiat;500X;915578
ftELqCXvCn;r189ZF92;Dodge;Challenger;216923
HZfvNwJjrZ;Y316UE42;Lamborghini;Urus;72157
oMQxfJvykM;I314hR73;Volvo;XC40;559918
wcOkajVGuc;S889rB79;Chevrolet;Impala;618684
sSBpzKwoeq;j853Lv66;Mitsubishi;i-MiEV;847669
GSVEtpGqad;B915kb36;Subaru;Crosstrek;601992
WGLuousHrE;D355GF74;BMW;X6;825316
oKfppRwANC;a464pX25;Rolls-Royce;Corniche;297799
QWkctauJgy;B259qq54;Ferrari;SF90 Stradale;321477
GbxKsUtJxi;M621ov71;Lexus;LS;721000
ZxcnZCklIa;Z712BK47;Maserati;3200 GT;286087
ACUMSWarOz;Y672Sa11;Tesla;Model S;985657
RLTLFosvAp;H127ob88;Skoda;Kamiq;102575
jxAMpafRnS;b274GI88;Mazda;Mazda2;99291
yKxVAWMVQY;X757qE88;Chevrolet;Blazer;289234
ZaiHGGcwuf;z661ae20;Honda;Fit;90045
XddLbzjwjo;J323Ry74;Jeep;Wrangler;20171
